meeting_date,decision,decision_num,target_rate_lag1,target_rate_lag2,target_rate_lag3,target_rate_lag4,PCE_inflation_gap_lag1,PCE_inflation_gap_lag2,PCE_inflation_gap_lag3,PCE_inflation_gap_lag4,unemployment_gap_lag1,unemployment_gap_lag2,unemployment_gap_lag3,unemployment_gap_lag4,output_gap_pct_lag1,output_gap_pct_lag2,output_gap_pct_lag3,output_gap_pct_lag4,NFCI_lag1,NFCI_lag2,NFCI_lag3,NFCI_lag4,lagged_upper_bound,PCE_gap_change_1m,unemployment_gap_change_1m,output_gap_change_1q,nfci_change_1m,prev_decision,prev_decision_num,time_since_last_change,consecutive_same
2011-12-13,same,0.0,0.25,0.25,0.25,0.25,0.6992598449408156,1.0190303779583205,0.9767297960266115,0.7884519551278464,3.625315875706801,4.017171143674094,4.013289230580357,4.105910243400703,-2.7182348500174514,-3.086759548740523,-3.318252994321492,-3.4181298551388655,-0.0895,-0.0546,-0.2295,-0.5305,0.25,-0.3197705330175049,-0.3918552679672933,0.3685246987230717,-0.034899999999999994,same,0.0,22,22
2012-01-25,same,0.0,0.25,0.25,0.25,0.25,0.5266248849541872,0.6992598449408156,1.0190303779583205,0.9767297960266115,3.52957869464577,3.625315875706801,4.017171143674094,4.013289230580357,-2.581203596875348,-2.7182348500174514,-3.086759548740523,-3.318252994321492,-0.0996,-0.0895,-0.0546,-0.2295,0.25,-0.17263495998662837,-0.0957371810610308,0.13703125314210318,-0.010099999999999998,same,0.0,23,23
2012-03-13,same,0.0,0.25,0.25,0.25,0.25,0.569312446745764,0.5266248849541872,0.6992598449408156,1.0190303779583205,3.3338415135847406,3.52957869464577,3.625315875706801,4.017171143674094,-2.4441723437332454,-2.581203596875348,-2.7182348500174514,-3.086759548740523,-0.2575,-0.0996,-0.0895,-0.0546,0.25,0.042687561791576734,-0.19573718106102955,0.13703125314210274,-0.1579,same,0.0,24,24
2012-04-25,same,0.0,0.25,0.25,0.25,0.25,0.29802747216978354,0.569312446745764,0.5266248849541872,0.6992598449408156,3.2431117909448925,3.3338415135847406,3.52957869464577,3.625315875706801,-2.429372598976407,-2.4441723437332454,-2.581203596875348,-2.7182348500174514,-0.43,-0.2575,-0.0996,-0.0895,0.25,-0.27128497457598044,-0.09072972263984802,0.014799744756838429,-0.1725,same,0.0,25,25
2012-06-20,same,0.0,0.25,0.25,0.25,0.25,-0.0001512581436307059,0.29802747216978354,0.569312446745764,0.5266248849541872,3.2477469296249692,3.2431117909448925,3.3338415135847406,3.52957869464577,-2.421972726597988,-2.429372598976407,-2.4441723437332454,-2.581203596875348,-0.40475,-0.43,-0.2575,-0.0996,0.25,-0.29817873031341424,0.0046351386800767,0.007399872378419214,0.025249999999999995,same,0.0,26,26
2012-07-31,same,0.0,0.25,0.25,0.25,0.25,-0.45398032730368065,-0.0001512581436307059,0.29802747216978354,0.569312446745764,3.257735377492776,3.2477469296249692,3.2431117909448925,3.3338415135847406,-2.606386440109799,-2.421972726597988,-2.429372598976407,-2.4441723437332454,-0.25,-0.40475,-0.43,-0.2575,0.25,-0.45382906916004995,0.009988447867806727,-0.18441371351181113,0.15475,same,0.0,27,27
2012-09-13,same,0.0,0.25,0.25,0.25,0.25,-0.5899738645041435,-0.45398032730368065,-0.0001512581436307059,0.29802747216978354,3.2627296014266793,3.257735377492776,3.2477469296249692,3.2431117909448925,-2.6985932968657047,-2.606386440109799,-2.421972726597988,-2.429372598976407,-0.33325,-0.25,-0.40475,-0.43,0.25,-0.1359935372004628,0.004994223933903363,-0.09220685675590579,-0.08324999999999999,same,0.0,28,28
2012-10-24,same,0.0,0.25,0.25,0.25,0.25,-0.32202899482465064,-0.5899738645041435,-0.45398032730368065,-0.0001512581436307059,2.8734006188213135,3.2627296014266793,3.257735377492776,3.2477469296249692,-2.904896548536281,-2.6985932968657047,-2.606386440109799,-2.421972726597988,-0.5055000000000001,-0.33325,-0.25,-0.40475,0.25,0.2679448696794928,-0.38932898260536586,-0.2063032516705765,-0.17225000000000007,same,0.0,29,29
2012-12-12,same,0.0,0.25,0.25,0.25,0.25,-0.02312250211615563,-0.32202899482465064,-0.5899738645041435,-0.45398032730368065,2.8787361275186303,2.8734006188213135,3.2627296014266793,3.257735377492776,-3.0080481743715692,-2.904896548536281,-2.6985932968657047,-2.606386440109799,-0.54625,-0.5055000000000001,-0.33325,-0.25,0.25,0.298906492708495,0.005335508697316804,-0.10315162583528803,-0.04074999999999995,same,0.0,30,30
2013-01-30,same,0.0,0.25,0.25,0.25,0.25,-0.3756171586124495,-0.02312250211615563,-0.32202899482465064,-0.5899738645041435,2.990045301431084,2.8787361275186303,2.8734006188213135,3.2627296014266793,-2.660302964213568,-3.0080481743715692,-2.904896548536281,-2.6985932968657047,-0.582,-0.54625,-0.5055000000000001,-0.33325,0.25,-0.35249465649629386,0.11130917391245365,0.3477452101580014,-0.03574999999999995,same,0.0,31,31
